timestamp,username,message
2025-06-11T22:04:23,mroutix,lock 3e je suis choqué
2025-06-11T22:04:24,sabador_,Survie
2025-06-11T22:04:27,ooxt,chnyPanic
2025-06-11T22:04:30,snowzy_love_you,change de kart gota nn ?
2025-06-11T22:04:38,thecrazybugs,merci Yann
2025-06-11T22:04:42,yek1928,"tu peu ""visé"" avec le joystic quand tu tire gota"
2025-06-11T22:04:48,liandyii,dis a yanou de mettre l arc en ciel
2025-06-11T22:04:49,riz_rares606,@snowzy_love_you non
2025-06-11T22:04:51,dromies,Prédictions gotagaSpeaker
2025-06-11T22:05:07,axel_blaze_zw,donne code gota on rejoin
2025-06-11T22:05:07,onapprend,C'est trop rapide les aléatoire
2025-06-11T22:05:10,monsieurdiano,C'est seulement en survie le plus sur la map
2025-06-11T22:05:20,haricover6319,Ta 0 rider
2025-06-11T22:05:52,haricover6319,C'est ta map sa
2025-06-11T22:05:54,mcvrcus,GG
2025-06-11T22:06:03,bfctheskill,t'imagine meme pas les cutes en ride
2025-06-11T22:06:11,keidouh,OMG ma gâté
2025-06-11T22:06:15,keloster,T'as pas encore vu les speedruns wall runs KEKW
2025-06-11T22:06:34,nazariox_,ça fait combien de temps qu’ils ont commencé à jouer ?
2025-06-11T22:06:47,dblimite,les pièces ca sert a quoi ?
2025-06-11T22:06:53,dromies,@dblimite Allez plus vite
2025-06-11T22:06:56,mortdepuis,jltomyLUL jltomyLUL
2025-06-11T22:07:03,haricover6319,Mdr la cam qui tourne
2025-06-11T22:07:07,zw_newkey,mdrrr
2025-06-11T22:07:08,alderdubresil,Mdrrr
2025-06-11T22:07:15,mandroptod1,ahahaha
2025-06-11T22:07:15,aceflowber,avec les tetes ptdr
2025-06-11T22:07:18,fawkea,ça me fume la cam en jeu LUL LUL
2025-06-11T22:07:21,mcvrcus,AHHAHAHAHA
2025-06-11T22:07:25,mortdepuis,jltomyLUL jltomyLUL jltomyLUL jltomyLUL
2025-06-11T22:07:33,twafix,le marteau c'est clutch pendant un virage
2025-06-11T22:07:48,mcvrcus,AHAHAHAHAHAH
2025-06-11T22:07:48,haricover6319,C'est pas que c'est nul c'est juste que la recovery est beaucoup plus rapide sur ce mk
2025-06-11T22:08:01,dalillive,tellement drôle les cams mdrrr
2025-06-11T22:08:07,dromies,C'est vraiment excellent le délire des cams
2025-06-11T22:08:08,mcvrcus,MDRRRRRRR
2025-06-11T22:08:09,witchersamus,ahah louklir
2025-06-11T22:08:12,eyoupi1,LUL LUL
2025-06-11T22:08:15,pimms67,ahahahahah lock
2025-06-11T22:08:15,cmeag,mdrrr
2025-06-11T22:08:17,nazariox_,Vous avez commencé il y a combien de temps ?
2025-06-11T22:08:19,alderdubresil,IDIOT LOCK
2025-06-11T22:08:26,jeremyerline,le training de doig a paye gota
2025-06-11T22:08:27,haricover6319,Y'a 8 courses tkl
2025-06-11T22:08:31,imslayerfr,Yann a pas la cam ?
2025-06-11T22:08:36,laylen_s,les cams c’est le mailleur ajout ptdr
2025-06-11T22:08:39,th0804h,tu peux bouger la camera avec le stick gauche pour viser les items en 360
2025-06-11T22:08:41,asskicker62,les cam ca regale tellement
2025-06-11T22:08:50,dany06000,route arc en ciel
2025-06-11T22:08:52,aleta99,locklear si il y pas de loot il sait pas joué LUL
2025-06-11T22:09:12,nasernino,tester la route arc en ciel
2025-06-11T22:09:15,kopodai,c’est clair les caméras c’est le feu
2025-06-11T22:09:15,onapprend,T'es plus fort en chemin gota je trouve
2025-06-11T22:09:19,haricover6319,Wow
2025-06-11T22:09:21,hardztyle__,aléatoire tu peut tombé sur un course a coté de la ou tu es du coup ta le tracé avant
2025-06-11T22:09:26,haricover6319,Le karma incoming
2025-06-11T22:09:39,lestaech,"C'est sa meuf qui joue, Doig à pas le niveau normalement"
2025-06-11T22:09:56,itashi34,!casque
2025-06-11T22:09:56,nightbot,@Itashi34 Tu peux avoir le même casque que Gota ici ► https://razer.a9yw.net/BSv2PGt  (5% avec le code GOTAGA) gotagaSoldier
2025-06-11T22:09:58,heroslink,l'astuce c'est de bag
2025-06-11T22:10:03,nightbot,gotagaMoney Profite d'un abonnement gratuit sur la chaîne de ton choix avec Prime Gaming ! pour utiliser le contenu in-game exclusif mais aussi pleins d'autres jeux et même des jeux gratuits ! Et bien sûr profite d'Amazon Prime pour une livraison express ► gaming.amazon.com/prime gotagaPog
2025-06-11T22:10:15,zw_newkey,mdr
2025-06-11T22:10:27,nightbot,"Le sub est à 4,99€ alors n'hésite pas et abonne toi !  www.twitch.tv/subs/gotaga gotagaGcorp"
2025-06-11T22:11:10,dromies,Je ne regarde même pas la course mais les cams LUL
2025-06-11T22:11:18,m8_hinxzos,les tetes je pleure mdrrr
2025-06-11T22:11:26,ohmyslash,y'a aucun sourire sur son visage
2025-06-11T22:11:29,yanisflem,@dromies Pareil un régal pour nous cette fonction
2025-06-11T22:11:40,mwittig13,faut que tu focus les pièces aussi
2025-06-11T22:11:40,haricover6319,Sa sent pas bon pour nos puntos
2025-06-11T22:11:40,paolo_bianci,les bots sont en facile ou quoi ?
2025-06-11T22:11:45,antonwaar,sandbag
2025-06-11T22:11:48,bfctheskill,mode survie tu va kiffer
2025-06-11T22:11:52,arr0x_ns,J'ai tout mis sur le non top 3 allez continue comme ça gota Kappa
2025-06-11T22:11:55,dromies,@YanisFlem PepoPopcorn
2025-06-11T22:11:56,evers34,ultime les cams c trop bien !!!
2025-06-11T22:11:57,n4skaa,unlocky
2025-06-11T22:11:59,reeeeemiiiiii,Tu as troll
2025-06-11T22:11:59,onapprend,Mets en chemins c'est mieux pour toi
2025-06-11T22:12:01,mwittig13,@Paolo_bianci normal
2025-06-11T22:12:04,arr0x_ns,Mode survie c'est insane
2025-06-11T22:12:07,fanyfy,astuce si tu penche le joystick a l'avant quand ta la plume tu vas plus vite
2025-06-11T22:12:10,dany06000,la cam de squeezie quand il te dépasse ça me régale mdrrr
2025-06-11T22:12:15,itashi34,!setup
