timestamp,username,message
2025-06-11T22:04:25,eavy333333,Dédicace a EAVY STP je vais dormir en plus
2025-06-11T22:04:25,rocket_men_09,le sonnnn
2025-06-11T22:04:25,skv_22,EH CAVAAAA LA PUB
2025-06-11T22:04:25,marius_fr50,Je vais pleurer
2025-06-11T22:04:25,meri_em_ab,AAHHAAHHAAHHAHAHA
2025-06-11T22:04:25,la_gadji_paqueta,trop fort les dons
2025-06-11T22:04:25,shaaniyu,gg
2025-06-11T22:04:26,blamu_,La maaaaaaaffffffffffffffffffffff
2025-06-11T22:04:26,wizebot,"Pour soutenir le stream et laisser un message, tu peux faire un don ici <3 -> https://streamlabs.com/anyme023/tip"
2025-06-11T22:04:26,emmietls,Vrmt
2025-06-11T22:04:26,murphy__sun,fin de pub
2025-06-11T22:04:27,spoouut_rick,Merc8
2025-06-11T22:04:27,lucasdegeorgie,4 pub fait nous payer des taxe aussi nan ? anyme023KWA anyme023KWA anyme023KWA
2025-06-11T22:04:27,hallamadrid31,C'est en double
2025-06-11T22:04:27,anadesp2011,anyme023Cool anyme023Cool anyme023Cool anyme023Cool anyme023Cool anyme023Cool
2025-06-11T22:04:27,flo1226j,pub
2025-06-11T22:04:28,jc750099,nannnnnnnnnnnn
2025-06-11T22:04:28,loulyon_mrv,anyme023COOKED
2025-06-11T22:04:28,dadou_4269,pub GMF
2025-06-11T22:04:28,moxxgan3,c boooooooooon
2025-06-11T22:04:29,arrhurlgd,pub
2025-06-11T22:04:29,juanime24,Vous aussi c'est winamax la pub
2025-06-11T22:04:29,flomone,Pub mgl
2025-06-11T22:04:29,fsjeanseb,pup steam
2025-06-11T22:04:29,doctor_stone13,1/4 j’en ai taper 2 juste avant abusé abusé sayez marre la
2025-06-11T22:04:29,thethel_12,Winamax
2025-06-11T22:04:30,lazylake_off,enlève les pub
2025-06-11T22:04:30,saturn_lthsone,Gmf
2025-06-11T22:04:30,eagle_idzee,<3
2025-06-11T22:04:30,phoenixx33,pourquoi la puuuubb
2025-06-11T22:04:30,sephora_07,j’arrive la pubbbbb
2025-06-11T22:04:31,scuderianicee,actuellement entrain de faire mes synthèses devant le live
2025-06-11T22:04:31,piloulive1,pub
2025-06-11T22:04:31,jaime_mawkzymam,baisse le song
2025-06-11T22:04:31,the_flog,wshhhh chaud
2025-06-11T22:04:31,gabizz2306,pubbb
2025-06-11T22:04:31,kaderzj,nnnnn la publicitaria nooooooonoooooooo
2025-06-11T22:04:31,matetluc70,Vive twitch turbot
2025-06-11T22:04:31,davoqtf,naaan att stppp
2025-06-11T22:04:31,mano_pixel,pub maff Winamax
2025-06-11T22:04:31,lezoz30,pub yamal
2025-06-11T22:04:32,efix_dvn,"Arrêter de spam ""pub"" vous êtes chiant !!!!!!"
2025-06-11T22:04:32,okok1233hjfkd89,nannn laisse
2025-06-11T22:04:32,jinshichachuji,vos bouche avec les pubs payé un sub ou un prime
2025-06-11T22:04:32,azertyx_sheesh,wsh tjr plus les pubs
2025-06-11T22:04:32,insufixx,c bonnn
2025-06-11T22:04:32,anes_dh0,cyber punk
2025-06-11T22:04:32,tanadann,Puuuubbb
2025-06-11T22:04:33,xrtryze,les 45 secondes de pub
2025-06-11T22:04:33,696_waze,oalalal la pub la maaf blc
2025-06-11T22:04:34,splitx26,qui n'a pas d'adblock sur twitch mdr ?
2025-06-11T22:04:34,batman_ldo7,c quoi caaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
2025-06-11T22:04:34,crm_1607,ppppuuuubbbb WutFace WutFace WutFace WutFace
2025-06-11T22:04:34,js_jsbb,pub
2025-06-11T22:04:34,elise78_09,1min30 de pub 😓😓😓
2025-06-11T22:04:35,mansnoofy12,Squid1 Squid2 Squid3 Squid2 Squid4
2025-06-11T22:04:35,nm_mdx221,j’ai que des pub mtn
2025-06-11T22:04:35,wizebot,Pour profiter du live sans les PUBS et soutenir Anyma 023 prend ton SUB www.twitch.tv/anyme023/subscribe [📛 15s]
2025-06-11T22:04:35,spiixe_,!don
2025-06-11T22:04:35,elkochon,c'est bon
2025-06-11T22:04:36,ma3ll3_bl,Intel
2025-06-11T22:04:36,la_paume_d_amour,C'est bon
2025-06-11T22:04:36,kouign_amann_29,je suis entrain de me tapé 12 pubs zebi c'est quoi ce bordel
2025-06-11T22:04:37,quedaz_,pas mal les 40 pubs
2025-06-11T22:04:37,jocros_29,44444444444 pubbbbbbbb a alajqjbajskddlfbdjkdjd
2025-06-11T22:04:37,mayoulabc,pub gmf
2025-06-11T22:04:37,angieee1_777,ENFIN
2025-06-11T22:04:37,math94648,Pub
2025-06-11T22:04:38,caraelo_06,MDRRR
2025-06-11T22:04:38,alesslebest4,PewPewPew PewPewPew PewPewPew PewPewPew PewPewPew PewPewPew PewPewPew PewPewPew NiceTry NiceTry NiceTry NiceTry NiceTry
2025-06-11T22:04:38,lea_131999,c’est combien de jours crazytown?
2025-06-11T22:04:38,essianna,BIEN LE BONSOIRRR
2025-06-11T22:04:38,ketsia_y2k,nico niiiiii hiihihi
2025-06-11T22:04:38,gdgck,anyme023COOKED
2025-06-11T22:04:39,clcycy_,PUB
2025-06-11T22:04:39,joyty_,on entend pas bylhain
2025-06-11T22:04:39,clemex360,C bon
2025-06-11T22:04:39,k_lightss,jtm anyme
2025-06-11T22:04:40,agathe1313,vas voir la lune fraise
2025-06-11T22:04:41,emorgane2_,Dans ma classe à chaque fois on hurle dans les couloirs il fait tarpinpas chaud
2025-06-11T22:04:41,pyurosass_rt,mdrrrrrrrrrrrrr
2025-06-11T22:04:41,sunnkrx,rien à foutre de winamax aussi
2025-06-11T22:04:43,iony_cr7,Caca
2025-06-11T22:04:43,mrgoft260,Wsh la publiais longueee
2025-06-11T22:04:43,sanchole,avant t’en rigolais de ces blagues… t’as bien changé
2025-06-11T22:04:43,vivivchan,XD
2025-06-11T22:04:43,liam56i,pub
2025-06-11T22:04:44,kathyajus,@clcycy_ tg
2025-06-11T22:04:44,leonie_lgpl,PUBBBBBB
2025-06-11T22:04:44,evias71,il veut te faire ahahahahah
2025-06-11T22:04:44,evildoctrine,mdrr
2025-06-11T22:04:44,roigta5,LUL LUL
2025-06-11T22:04:45,dragon_974r,Ya des snap les fille
2025-06-11T22:04:46,itzasano,C’est bon
2025-06-11T22:04:46,soukainalanana,4 pud wsh
2025-06-11T22:04:46,lounattft,SNAP DE MA POTEEE:nanaframm
2025-06-11T22:04:47,vanquish_resistance,LUL
2025-06-11T22:04:47,rafe_curly,coucou
2025-06-11T22:04:49,lea_cnf,tu peux augmenter son son
2025-06-11T22:04:50,zerkan2000,wow j'ai 36 pubs
2025-06-11T22:04:50,johanna_09oo,anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme
2025-06-11T22:04:50,joys_31,anyme023Anyme PewPewPew
2025-06-11T22:04:51,wizel_2t,Mdrrr
2025-06-11T22:04:51,scerfi35,bub
2025-06-11T22:04:53,c_ricour,je viens de m’enquiller 4 pubs
2025-06-11T22:04:55,iridiant31,Yo
2025-06-11T22:04:56,eavy333333,Omg t'allume plus de briquet que de meurs dans ta vie mon frère
2025-06-11T22:04:56,sass170908,anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme
2025-06-11T22:04:56,raffou23_27,AH VOILA
2025-06-11T22:04:56,aless2o09,LUL
2025-06-11T22:04:56,ldrt_94,mdrrr
2025-06-11T22:04:56,aksel_3232,wesh c’est pas abusé 4 pub de 20 secondes pitié ?!!
2025-06-11T22:04:57,simonkacz59,je me suis tapé 3 pubs pour ton live t’a intérêt à me faire rire
2025-06-11T22:04:57,bambouxoff,bonsoir
2025-06-11T22:04:57,enzo_ouais,4 pub ptdrrrr
2025-06-11T22:04:57,blackgunn17,Balancer votre sub au lieu de spam pub bordel!
2025-06-11T22:04:59,yasmina232875,MMH SA VIENS PAS DE CHEZ NOUS SA IL NOUS LON VOLER MAIS QUI ÇA ? L'ARABEEEEEEEEEEEEEE
2025-06-11T22:04:59,inox_1063,IL FAIT TARPIN CHAUD
2025-06-11T22:04:59,lazylake_off,pub
2025-06-11T22:04:59,m_and_j_,Pubbbb
2025-06-11T22:04:59,zongolapet1t,pub
2025-06-11T22:05:00,wizebot,Pour profiter du live sans les PUBS et soutenir Anyma 023 prend ton SUB www.twitch.tv/anyme023/subscribe [📛 15s]
2025-06-11T22:05:00,jl_cencendre,le jeu est mal cadrer
2025-06-11T22:05:01,tinalovebullterrier,aime jahne
2025-06-11T22:05:03,mral3x_,tu rejou bientôt avec 2S ??
2025-06-11T22:05:03,timti42,Pub
2025-06-11T22:05:04,sharm32_mini,mdr 😂 les gens sont fous ici 🤣
2025-06-11T22:05:04,skikrox_,wesh j ai fais des dons ça passe pas
2025-06-11T22:05:04,clement_espinasseau,anyme023HYPE anyme023HYPE
2025-06-11T22:05:04,lea_ptr762,PUBBBBB
2025-06-11T22:05:05,wizebot,"Pour soutenir le stream et laisser un message, tu peux faire un don ici <3 -> https://streamlabs.com/anyme023/tip"
2025-06-11T22:05:05,iinofort19n,a partir de cmb les dons sont lus à voie haute
2025-06-11T22:05:06,lunaa952,ptn pub
2025-06-11T22:05:07,bxrrafox31,anyme023HEUUU
2025-06-11T22:05:07,w_este,anyme023HEUUU PTN TES PUBS DE MERDE
2025-06-11T22:05:08,rafoumgl,VoHiYo VoHiYo VoHiYo
2025-06-11T22:05:10,funukenichi,@Arikunshu Merci pour l'abonnement-cadeau !
2025-06-11T22:05:11,elise78_09,oui stv c elise78_09
2025-06-11T22:05:11,lea_131999,mdr😂😂😂😂
2025-06-11T22:05:12,shaaniyu,MANGE
2025-06-11T22:05:12,hvk_eliottox,gazoil
2025-06-11T22:05:13,kelpie_74600,anyme023SDK
2025-06-11T22:05:13,nrosgegue,je t’aime
2025-06-11T22:05:14,elena_ycx,Oh le pressing 💀
2025-06-11T22:05:14,meushistar,anyme023Anyme anyme023Anyme anyme023Anyme anyme023Anyme
2025-06-11T22:05:15,michou04,l’´
2025-06-11T22:05:16,laprostatederavus,LUL LUL LUL LUL LUL
2025-06-11T22:05:16,dannette_18,Coucouu
2025-06-11T22:05:16,vibepotatoes1,70kkkkkkk
2025-06-11T22:05:17,paulinecdr_,@iinofort19n 3€
2025-06-11T22:05:17,doctor_stone13,c’est bon
2025-06-11T22:05:17,ruthraaaaa,gazouz
2025-06-11T22:05:18,lic0rne_,ses quoi cette map de merde il ses passer quoi ?
2025-06-11T22:05:18,o_ceane17,il se fout clairement de toi
2025-06-11T22:05:19,aizen98,AHHH
2025-06-11T22:05:20,louistoutdoux,t mute
2025-06-11T22:05:20,jessimakr_,vzz bute le
2025-06-11T22:05:21,xiaoo_005,😭😭🤣🤣🤣😭
2025-06-11T22:05:21,natara312,Cimer @fankou_ pour l’abonnement tu fais un homme heureux
2025-06-11T22:05:22,thomlt29,On fait un peu de boxe
2025-06-11T22:05:23,bardelux023,anyme023KWA
2025-06-11T22:05:23,m8_gabouu,refait l'intro stp je lai loupé
2025-06-11T22:05:24,8maw,COUPE LES DONS STP
2025-06-11T22:05:25,sptdarkben27208,LUL LUL LUL LUL
2025-06-11T22:05:26,nath1938,MONTE LE SON
2025-06-11T22:05:27,laoni_mizuka11,MDRR
2025-06-11T22:05:27,davoqtf,la boulangerie est opoen
2025-06-11T22:05:28,gdgck,DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance DinoDance
2025-06-11T22:05:28,carrimme,Envoyé vos snap pls
2025-06-11T22:05:28,bubugoldberg,dans le trou de balle à vallouzz
2025-06-11T22:05:28,la_cocotte_qui_vole,hooooo wooww
2025-06-11T22:05:29,leooow26,zebiiiiiii j’ai pas vu l’intro de ce soir
2025-06-11T22:05:29,alex03k03,Mdrrrr
2025-06-11T22:05:30,ratonlaveur0501,yooooooo
2025-06-11T22:05:30,emorgane2_,anyme023HYYYPE anyme023HYYYPE
2025-06-11T22:05:30,caraelo_06,MDRRR
2025-06-11T22:05:30,gabzvw,MDRRRRRRRR
2025-06-11T22:05:31,k_lightss,anyme023RIP anyme023RIP anyme023RIP anyme023RIP anyme023RIP anyme023RIP anyme023RIP
2025-06-11T22:05:32,laglace_vanille,REFAIT L'INTRO JE PROMENAIS MON POISSON ;-;
2025-06-11T22:05:32,nouhae11,koooooo
2025-06-11T22:05:32,misspro42,TehePelo TehePelo TehePelo TehePelo TehePelo TehePelo TehePelo
2025-06-11T22:05:32,juju_multiverse,MDRR
2025-06-11T22:05:32,nao_org,AHHHHHHHH
2025-06-11T22:05:33,raubyn2804,gros je te jure j’ai eu une pub GMF
2025-06-11T22:05:33,redro38,mdrrrr
2025-06-11T22:05:33,lea_sght,😭😭😭😭😭🤣
2025-06-11T22:05:33,haydena_,MMDMDMDMDRR
2025-06-11T22:05:33,cyp1p,pain
2025-06-11T22:05:34,eltorregg,mdrr
2025-06-11T22:05:34,natsukii95,il a vu les édit lui 🤣🤣🤣
2025-06-11T22:05:34,assiaben700,oui c toi mon painnn
2025-06-11T22:05:34,mina_jlk,liaisons
2025-06-11T22:05:35,o_ceane17,les filles
2025-06-11T22:05:35,marshmalo_,MDRRR
2025-06-11T22:05:35,leona23nona,Mon snap c'est leona perillo 24
2025-06-11T22:05:35,ptiyop,LUL LUL LUL
2025-06-11T22:05:35,lazylake_off,pub
2025-06-11T22:05:35,ly_lala62,MDRRRRRRR
2025-06-11T22:05:36,the_pnj7,@lazylake_off s'est fait spawn kill
2025-06-11T22:05:36,wizebot,Pour profiter du live sans les PUBS et soutenir Anyma 023 prend ton SUB www.twitch.tv/anyme023/subscribe [📛 15s]
2025-06-11T22:05:36,baji_manjiro,LUL LUL LUL LUL
2025-06-11T22:05:36,ldrt_94,😂😂
2025-06-11T22:05:36,chadow652,😂
2025-06-11T22:05:36,ender700tyt,X est quoi ca
2025-06-11T22:05:36,alexx_ofc,!pub
2025-06-11T22:05:36,ewenxz_yt,🤣🤣🤣
2025-06-11T22:05:36,lilou_bcrt,mdrrrrr
2025-06-11T22:05:36,jc750099,la boulangerie est ouverte
2025-06-11T22:05:37,wizebot,Pour profiter du live sans les PUBS et soutenir Anyma 023 prend ton SUB www.twitch.tv/anyme023/subscribe
