timestamp,username,message
2025-06-11T22:04:27,quipstagey,Yesssss
2025-06-11T22:04:27,nazariox_,"Bonjour 👋, je viens d’arriver, c’était juste pour savoir depuis quand ils ont commencé à jouer ?"
2025-06-11T22:04:27,scat_cat,si si
2025-06-11T22:04:28,kurrokudairu,il me semble que tu peux viser les ennemis maintenant avec les objets
2025-06-11T22:04:29,s0lotaku,on voit leur tête in course
2025-06-11T22:04:30,dalils,j'ai que c'etait yann le monteur
2025-06-11T22:04:30,nostaliaaa,enlève le HDR
2025-06-11T22:04:31,stormixy08,TRop tars
2025-06-11T22:04:33,adrienking06,START
2025-06-11T22:04:34,tm_tew,@arracheur2suceptible meme moi je suis en train de me dire meais ous ont ils
2025-06-11T22:04:34,vivelelore,FAIT MTN
2025-06-11T22:04:35,discocamz,fais start
2025-06-11T22:04:36,sensei_wuuu,Plus Changer
2025-06-11T22:04:37,violet_lgn,t aller trop vite
2025-06-11T22:04:38,raphiki7,Survie @Squeezie
2025-06-11T22:04:38,tsukooriginal,petit perso c'est les meuilleur
2025-06-11T22:04:39,willfro_,mes points svp
2025-06-11T22:04:39,shinzo_wo_sasageyooo,NotLikeThis NotLikeThis NotLikeThis
2025-06-11T22:04:40,majd320,START
2025-06-11T22:04:41,squezoslayer,prédiction
2025-06-11T22:04:41,lisbethakhorn,Staaart
2025-06-11T22:04:42,rachou_au,tu peux changer direct
2025-06-11T22:04:42,tangtangbang,mdr personne ne s'écoute
2025-06-11T22:04:42,tintey_,FAIT LE
2025-06-11T22:04:43,discocamz,MTNT
2025-06-11T22:04:43,vivelelore,FAIT START
2025-06-11T22:04:43,bt53_,mais il est con
2025-06-11T22:04:44,jarod_17,Prochaine course tu peux
2025-06-11T22:04:45,aparrrrr,prochaine map @Squeezie
2025-06-11T22:04:46,obscurerking,START
2025-06-11T22:04:47,bubble_dana,change
2025-06-11T22:04:48,boutfleur,"l'accélération c'est super meta sur ce Mario Kart ""De : Etoiles"""
2025-06-11T22:04:48,violet_lgn,start
2025-06-11T22:04:49,nouney_11,channnnnge
2025-06-11T22:04:49,slyfe_222,predi
2025-06-11T22:04:49,olibosc,fait start q
2025-06-11T22:04:49,albertkleist,@squezoslayer déja faites
2025-06-11T22:04:49,troxyy_tv,bah cahnge du coup ?
2025-06-11T22:04:50,lawxx09,START
2025-06-11T22:04:50,blidz_loulou,les point
2025-06-11T22:04:50,leahgdl__,c'est trop tard laa
2025-06-11T22:04:50,samy_gok,Start changer de pilote
2025-06-11T22:04:52,vivelelore,FAIT START SQUEEZIE
2025-06-11T22:04:53,marixe_top,TU PEUXXXXXXXXX
2025-06-11T22:04:53,bubble_dana,fais le maintenant
2025-06-11T22:04:54,personne_3443,START
2025-06-11T22:04:54,furiouspower20,START
2025-06-11T22:04:54,matix_1604,chqnge ;qintenqnt
2025-06-11T22:04:54,naaky13,Mais change lerr
2025-06-11T22:04:57,blidz_loulou,point
2025-06-11T22:04:57,lolo_gr1_61,les prédis svp
2025-06-11T22:04:58,mickaelbnsr,bien le bonjour
2025-06-11T22:04:59,piiim__,prédiction
2025-06-11T22:04:59,valwho,appuis sur start et lit c'est simple
2025-06-11T22:04:59,violet_lgn,trop tard
2025-06-11T22:05:02,02satine_gtr,les points de chaîne plssss
2025-06-11T22:05:03,flegs18,c'est quoi 150 cc?
2025-06-11T22:05:04,weezy972,Ils écoutent pass toute façon mdrr
2025-06-11T22:05:06,quipstagey,Il veut pas comprendre mdrrrr
